County,% Physically inactive (2017),% Smoking (2018),Poor or fair health,,
Jasper,34%,23%,23%,,
Jeff Davis,22%,15%,19%,,
Jefferson,32%,20%,24%,,
Jim Hogg,22%,17%,33%,,
Jim Wells,25%,17%,30%,,
Johnson,29%,19%,20%,,
Jones,25%,21%,25%,,
Karnes,19%,19%,26%,,
Kaufman,31%,18%,20%,,
Kendall,26%,13%,14%,,
Kenedy,21%,23%,38%,,
Kent,24%,18%,18%,,
Kerr,25%,17%,19%,,
Kimble,26%,19%,22%,,
King,19%,18%,18%,,
Kinney,21%,20%,31%,,
Kleberg,25%,16%,27%,,
Knox,21%,19%,23%,,
La Salle,23%,16%,30%,,
Lamar,41%,22%,22%,,
Lamb,27%,20%,29%,,
Lampasas,23%,18%,19%,,
Lavaca,33%,19%,20%,,
Lee,27%,19%,22%,,
Leon,31%,22%,23%,,
Liberty,31%,22%,25%,,
Limestone,28%,22%,25%,,
Lipscomb,25%,18%,21%,,
Live Oak,24%,20%,24%,,
Llano,26%,19%,19%,,
Loving,24%,20%,20%,,
Lubbock,22%,17%,21%,,
Lynn,18%,20%,27%,,
Madison,28%,20%,23%,,
Marion,29%,24%,24%,,
Martin,18%,18%,23%,,
Mason,26%,18%,20%,,
Matagorda,33%,19%,26%,,
Maverick,26%,18%,36%,,
McCulloch,23%,19%,23%,,
McLennan,23%,19%,22%,,
McMullen,26%,16%,20%,,
Medina,20%,16%,22%,,
Menard,27%,17%,21%,,
Midland,24%,15%,19%,,
Milam,34%,21%,24%,,
Mills,28%,20%,22%,,
Mitchell,19%,19%,24%,,
Montague,29%,21%,20%,,
Montgomery,18%,16%,16%,,
Moore,21%,19%,27%,,
Morris,20%,21%,21%,,
Motley,25%,20%,20%,,
Nacogdoches,30%,21%,23%,,
Navarro,23%,21%,24%,,
Newton,22%,24%,24%,,
Nolan,25%,20%,24%,,
Nueces,25%,16%,24%,,
Ochiltree,33%,18%,24%,,
Oldham,22%,19%,19%,,
Orange,38%,21%,20%,,
Palo Pinto,29%,21%,22%,,
Panola,25%,21%,22%,,
Parker,25%,17%,17%,,
Parmer,24%,18%,28%,,
Pecos,27%,18%,27%,,
Polk,34%,22%,24%,,
Potter,24%,20%,26%,,
Presidio,23%,22%,40%,,
Rains,18%,21%,20%,,
Randall,27%,15%,16%,,
Reagan,20%,17%,25%,,
Real,22%,21%,25%,,
Red River,37%,23%,23%,,
Reeves,25%,18%,28%,,
Refugio,29%,18%,25%,,
Roberts,19%,18%,17%,,
Robertson,36%,20%,22%,,
Rockwall,27%,14%,14%,,
Runnels,20%,19%,23%,,
Rusk,30%,21%,23%,,
Sabine,30%,24%,23%,,
San Augustine,29%,23%,25%,,
San Jacinto,23%,23%,24%,,
San Patricio,33%,17%,25%,,
San Saba,25%,21%,25%,,
Schleicher,20%,16%,22%,,
Scurry,23%,20%,24%,,
Shackelford,20%,20%,19%,,
Shelby,36%,23%,26%,,
Sherman,27%,18%,22%,,
Smith,23%,19%,21%,,
Somervell,24%,20%,21%,,
Starr,26%,20%,41%,,
Stephens,29%,22%,24%,,
Sterling,19%,18%,22%,,
Stonewall,21%,20%,21%,,
Sutton,18%,15%,21%,,
Swisher,19%,22%,29%,,
Tarrant,23%,15%,21%,,
Taylor,25%,18%,20%,,
Terrell,24%,18%,26%,,
Terry,26%,21%,29%,,
Throckmorton,30%,20%,20%,,
Titus,29%,20%,26%,,
Tom Green,25%,17%,21%,,
Travis,15%,13%,16%,,
Trinity,26%,22%,23%,,
Tyler,36%,22%,22%,,
Upshur,29%,21%,20%,,
Upton,20%,19%,26%,,
Uvalde,25%,18%,29%,,
Val Verde,19%,17%,30%,,
Van Zandt,27%,20%,21%,,
Victoria,29%,17%,23%,,
Walker,22%,20%,23%,,
Waller,31%,19%,23%,,
Ward,28%,18%,25%,,
Washington,37%,19%,20%,,
Webb,32%,17%,35%,,
Wharton,24%,19%,25%,,
Wheeler,26%,20%,22%,,
Wichita,30%,20%,22%,,
Wilbarger,31%,21%,26%,,
Willacy,26%,20%,37%,,
Williamson,19%,12%,15%,,
Wilson,32%,16%,19%,,
Winkler,22%,19%,27%,,
Wise,28%,19%,20%,,
Wood,31%,20%,20%,,
Yoakum,21%,16%,25%,,
Young,35%,21%,21%,,
Zapata,18%,20%,40%,,
Zavala,25%,21%,40%,,
