County,Median household income overall,White median household income,Black median household income,High. School graduation rate (2017-2018),Poor or fair health
DeWitt,"52500 ","64500 ","41400 ",96,24
Dickens,"42000 ",,,,24
Dimmit,"40300 ",,"24600 ",93,36
Donley,"41100 ","43300 ","45300 ",,20
Duval,"37100 ","55100 ","38200 ",91,34
Eastland,"47000 ","37400 ","32900 ",95,23
Ector,"65600 ","72000 ","57100 ",82,24
Edwards,"40400 ","54700 ","33100 ",,26
El Paso,"48600 ","63300 ","43100 ",87,27
Ellis,"78300 ","85200 ","63900 ",93,18
Erath,"53000 ","55400 ","45800 ",92,20
Falls,"41500 ","45800 ","30800 ",,27
Fannin,"56100 ","57700 ","50900 ",93,20
Fayette,"62200 ","62900 ","63400 ",93,21
Fisher,"51100 ","53200 ","36600 ",,21
Floyd,"45000 ","65300 ","44000 ",,28
Foard,"38600 ","45500 ","41400 ",,22
Fort Bend,"101400 ","116700 ","70400 ",94,15
Franklin,"50600 ","53300 ","58000 ",98,17
Freestone,"52500 ","58100 ","45800 ",97,23
Frio,"40400 ","67100 ","41700 ",94,31
Gaines,"67200 ","64100 ","58300 ",91,27
Galveston,"73200 ","85100 ","58400 ",92,19
Garza,"49000 ","63800 ","38500 ",86,28
Gillespie,"62100 ","59000 ","58700 ",96,18
Glasscock,"93800 ","125300 ","42600 ",,22
Goliad,"56800 ","75300 ","32600 ",98,21
Gonzales,"48400 ","61900 ","50800 ",93,27
Gray,"52500 ","51100 ","46600 ",92,24
Grayson,"57400 ","58000 ","53500 ",93,19
Gregg,"53100 ","60200 ","41500 ",95,23
Grimes,"51700 ","58200 ","52100 ",92,25
Guadalupe,"78800 ","80700 ","60800 ",95,19
Hale,"49200 ","52600 ","44400 ",92,26
Hall,"35900 ","40600 ","26800 ",,31
Hamilton,"52500 ","55500 ","32000 ",,22
Hansford,"58700 ","48200 ","29000 ",95,27
Hardeman,"40100 ","46800 ","39100 ",,24
Hardin,"62600 ","62000 ","91300 ",94,19
Harris,"61600 ","90600 ","50300 ",87,22
Harrison,"55200 ","61200 ","53100 ",88,22
Hartley,"72800 ","58900 ","59400 ",,18
Haskell,"38600 ","47300 ","29900 ",,27
Hays,"72900 ","75100 ","59600 ",91,18
Hemphill,"71300 ","93100 ","43200 ",98,22
Henderson,"49900 ","50100 ","37500 ",95,22
Hidalgo,"41700 ","52600 ","38100 ",91,33
Hill,"53200 ","56600 ","46900 ",93,22
Hockley,"51100 ","56800 ","42300 ",89,24
Hood,"74500 ","64800 ","53300 ",93,17
Hopkins,"50300 ","60000 ","41800 ",91,22
Houston,"43600 ","46200 ","25400 ",95,27
Howard,"61100 ","63100 ","44200 ",90,24
Hudspeth,"39300 ","45900 ","30000 ",,36
Hunt,"57500 ","61200 ","43700 ",93,22
Hutchinson,"57900 ","55000 ","46800 ",96,21
Irion,"68600 ","48500 ","62700 ",,18
Jack,"55400 ","53900 ","29100 ",95,23
Jackson,"55800 ","68700 ","50500 ",97,21
Jasper,"47300 ","51500 ","30800 ",94,23
Jeff Davis,"53400 ","53500 ","53100 ",,19
Jefferson,"55200 ","69800 ","47300 ",87,24
Jim Hogg,"38800 ",,,93,33
Jim Wells,"44400 ","58800 ","38200 ",89,30
Johnson,"66500 ","66500 ","57000 ",94,20
Jones,"51100 ","57000 ","38700 ",95,25
Karnes,"54800 ","71000 ","47000 ",92,26
Kaufman,"75000 ","74000 ","63200 ",96,20
Kendall,"94900 ","93100 ","64200 ",99,14
Kenedy,"46100 ",,,,38
Kent,"52600 ",,,,18
Kerr,"57800 ","62200 ","41500 ",95,19
Kimble,"44800 ","44900 ","30800 ",,22
King,"71300 ","67100 ","29300 ",,18
Kinney,"47100 ","32800 ","20200 ",,31
Kleberg,"47200 ","66300 ","41300 ",89,27
Knox,"40800 ","54800 ","41400 ",,23
La Salle,"41700 ","56700 ","46300 ",88,30
Lamar,"47100 ","50100 ","44200 ",95,22
Lamb,"42700 ","53900 ","42200 ",93,29
Lampasas,"58800 ","60500 ","53300 ",97,19
Lavaca,"52600 ","58700 ","50100 ",96,20
Lee,"59300 ","62600 ","45300 ",95,22
Leon,"50500 ","44600 ","37500 ",,23
Liberty,"53300 ","53300 ","49500 ",92,25
Limestone,"43600 ","49600 ","43700 ",95,25
Lipscomb,"65400 ","64200 ","51000 ",,21
Live Oak,"54200 ","64100 ","36500 ",93,24
Llano,"55600 ","54000 ","32300 ",98,19
Loving,"88500 ",,,,20
Lubbock,"54700 ","61700 ","42000 ",92,21
Lynn,"45700 ","54300 ","27900 ",,27
Madison,"46300 ","55700 ","57900 ",97,23
Marion,"37900 ","40900 ","38500 ",98,24
Martin,"68700 ","81600 ","48700 ",94,23
Mason,"54900 ","46500 ","31300 ",,20
Matagorda,"49300 ","63100 ","48300 ",92,26
Maverick,"40000 ","71800 ","38700 ",92,36
McCulloch,"43300 ","47900 ","42500 ",94,23
McLennan,"51100 ","61200 ","39600 ",89,22
McMullen,"68300 ","104600 ","51600 ",,20
Medina,"60700 ","66000 ","57000 ",95,22
Menard,"38400 ","40900 ","31400 ",,21
Midland,"85800 ","95300 ","66200 ",90,19
Milam,"49000 ","57800 ","32400 ",92,24
Mills,"46900 ","50500 ","48000 ",,22
Mitchell,"44500 ","54200 ","49500 ",94,24
Montague,"53600 ","52400 ","39000 ",94,20
Montgomery,"88800 ","87400 ","56500 ",93,16
Moore,"55100 ","64600 ","51400 ",98,27
Morris,"43300 ","47700 ","42800 ",96,21
Motley,"40200 ","37200 ","62700 ",,20
Nacogdoches,"46200 ","52100 ","38800 ",93,23
Navarro,"48600 ","54900 ","41500 ",94,24
Newton,"45900 ","45500 ",,96,24
Nolan,"46400 ","46700 ","42300 ",87,24
Nueces,"56100 ","69000 ","50500 ",91,24
Ochiltree,"62600 ","61600 ","43100 ",98,24
Oldham,"59400 ","64600 ","53600 ",,19
Orange,"63000 ","63200 ","52300 ",93,20
Palo Pinto,"50200 ","52300 ","40300 ",94,22
Panola,"56900 ","56300 ","50900 ",97,22
Parker,"82500 ","80300 ","65200 ",96,17
Parmer,"50600 ","62200 ","48400 ",93,28
Pecos,"52800 ","69600 ","46200 ",92,27
Polk,"50400 ","51500 ","47200 ",93,24
Potter,"41100 ","49700 ","37000 ",90,26
Presidio,"33500 ",,,92,40
Rains,"65700 ","52900 ","45800 ",88,20
Randall,"70700 ","70600 ","60200 ",95,16
Reagan,"67400 ","89600 ","62500 ",,25
Real,"40800 ","37600 ","27300 ",,25
Red River,"41300 ","47900 ",,,23
Reeves,"49000 ","64600 ","46000 ",91,28
Refugio,"46900 ","53600 ","43800 ",,25
Roberts,"70700 ",,,,17
Robertson,"47000 ","55600 ","64900 ",95,22
Rockwall,"105800 ","104900 ","76600 ",97,14
Runnels,"48700 ","47000 ","42800 ",94,23
Rusk,"56000 ","63600 ","46100 ",94,23
Sabine,"43800 ","36500 ","28600 ",94,23
San Augustine,"40100 ","42300 ",,,25
San Jacinto,"42600 ","43500 ","37900 ",90,24
San Patricio,"57300 ","72300 ","46800 ",94,25
San Saba,"46100 ","48100 ","41600 ",,25
Schleicher,"53300 ","57000 ","48200 ",,22
Scurry,"56300 ","61300 ","53300 ",91,24
Shackelford,"65100 ","49100 ","45600 ",,19
Shelby,"39700 ","49400 ","38200 ",94,26
Sherman,"55500 ","63900 ","43400 ",,22
Smith,"59500 ","64300 ","47400 ",92,21
Somervell,"67900 ","65600 ","26400 ",81,21
Starr,"32500 ","74500 ","30300 ",91,41
Stephens,"46700 ","44000 ","48800 ",88,24
Sterling,"66800 ","49800 ","71300 ",,22
Stonewall,"48300 ",,,,21
Sutton,"63400 ","60600 ","48500 ",,21
Swisher,"44400 ","45000 ","32200 ",90,29
Tarrant,"70100 ","82000 ","54000 ",91,21
Taylor,"54500 ","58500 ","44400 ",93,20
Terrell,"45700 ","48800 ","38300 ",,26
Terry,"43000 ","60800 ","36700 ",95,29
Throckmorton,"42700 ","40200 ","68800 ",,20
Titus,"49900 ","57400 ","47800 ",96,26
Tom Green,"54800 ","60400 ","45200 ",90,21
Travis,"80700 ","92400 ","54800 ",92,16
Trinity,"43800 ","45300 ","33400 ",93,23
Tyler,"48300 ","45700 ","66400 ",96,22
Upshur,"53100 ","53600 ","60200 ",95,20
Upton,"58900 ","62700 ","40000 ",,26
Uvalde,"44700 ","49800 ","37400 ",88,29
Val Verde,"45000 ","65800 ","41600 ",82,30
Van Zandt,"55600 ","58600 ","31400 ",92,21
Victoria,"57300 ","67700 ","46800 ",89,23
Walker,"47500 ","52800 ","30600 ",78,23
Waller,"61800 ","82600 ","44700 ",95,23
Ward,"61400 ","76700 ","52400 ",97,25
Washington,"59000 ","64600 ","44800 ",93,20
Webb,"52600 ","65000 ","45100 ",94,35
Wharton,"49900 ","61900 ","40300 ",97,25
Wheeler,"58500 ","57600 ","41100 ",,22
Wichita,"51500 ","52300 ","44400 ",96,22
Wilbarger,"42600 ","48900 ","46400 ",91,26
Willacy,"35800 ","68900 ","32600 ",90,37
Williamson,"92700 ","90800 ","73100 ",95,15
Wilson,"76900 ","84500 ","66900 ",95,19
Winkler,"64900 ","61400 ","60000 ",93,27
Wise,"70500 ","67100 ","49400 ",95,20
Wood,"56900 ","55300 ","42000 ",96,20
Yoakum,"62600 ","75100 ","67200 ",96,25
Young,"52600 ","54300 ","44800 ",97,21
Zapata,"36100 ","56400 ","32600 ",91,40
Zavala,"32500 ",,,93,40
